PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3sPM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus/Minus,FP
Pelle Larsson,MIA,MIA vs. DEN,12/29/2025,W,15,3,1,5,20,1,3,33.3,0,0,-,0,2,2,0,0,0,0,2,2,5.4
Kel'el Ware,MIA,MIA vs. DEN,12/29/2025,W,24,19,8,12,66.7,3,6,50,0,0,-,5,4,9,0,1,0,0,1,4,32.8
Davion Mitchell,MIA,MIA vs. DEN,12/29/2025,W,32,10,4,8,50,2,4,50,0,0,-,0,3,3,9,0,1,3,4,17,27.1
Jonathan Isaac,ORL,ORL @ TOR,12/29/2025,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0
Jaime Jaquez Jr.,MIA,MIA vs. DEN,12/29/2025,W,28,20,8,11,72.7,1,2,50,3,6,50,1,2,3,11,0,0,0,0,23,40.1
Jonas Valančiūnas,DEN,DEN @ MIA,12/29/2025,L,16,6,3,3,100,0,0,-,0,0,-,1,3,4,1,0,1,2,3,-9,13.3
Goga Bitadze,ORL,ORL @ TOR,12/29/2025,L,16,2,1,2,50,0,0,-,0,1,0,2,3,5,0,0,2,0,4,-5,14
Paolo Banchero,ORL,ORL @ TOR,12/29/2025,L,38,23,9,19,47.4,2,4,50,3,4,75,3,12,15,10,0,1,1,1,-4,58
Tyus Jones,ORL,ORL @ TOR,12/29/2025,L,28,10,4,8,50,2,6,33.3,0,0,-,0,4,4,2,1,0,1,2,-13,19.8
Nikola Jokić,DEN,DEN @ MIA,12/29/2025,L,19,21,9,14,64.3,1,4,25,2,3,66.7,2,3,5,8,0,0,2,1,-1,37
DaRon Holmes II,DEN,DEN @ MIA,12/29/2025,L,8,4,0,0,-,0,0,-,4,4,100,0,3,3,0,0,0,0,1,-11,7.6
Gradey Dick,TOR,TOR vs. ORL,12/29/2025,W,15,15,4,7,57.1,2,4,50,5,6,83.3,1,0,1,0,1,0,0,2,-10,19.2
Bruce Brown,DEN,DEN @ MIA,12/29/2025,L,26,15,7,9,77.8,1,2,50,0,0,-,1,4,5,2,0,0,2,4,-16,22
Brandon Ingram,TOR,TOR vs. ORL,12/29/2025,W,34,17,7,22,31.8,0,6,0,3,4,75,2,7,9,4,0,1,0,2,8,36.8
Mo Bamba,TOR,TOR vs. ORL,12/29/2025,W,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,2,-9,3
Julian Strawther,DEN,DEN @ MIA,12/29/2025,L,14,4,0,3,0,0,1,0,4,4,100,0,1,1,1,0,0,1,0,-12,5.7
Spencer Jones,DEN,DEN @ MIA,12/29/2025,L,33,16,5,6,83.3,5,5,100,1,2,50,0,3,3,1,3,1,0,3,-6,33.1
Tim Hardaway Jr.,DEN,DEN @ MIA,12/29/2025,L,28,16,6,13,46.2,2,6,33.3,2,3,66.7,1,2,3,2,0,0,0,1,-18,22.6
Nikola Jović,MIA,MIA vs. DEN,12/29/2025,W,26,22,7,12,58.3,5,8,62.5,3,3,100,0,4,4,5,0,0,0,3,24,34.3
Ochai Agbaji,TOR,TOR vs. ORL,12/29/2025,W,20,10,4,8,50,0,1,0,2,2,100,3,1,4,3,0,0,0,0,7,19.3
Jamal Murray,DEN,DEN @ MIA,12/29/2025,L,35,20,9,21,42.9,2,6,33.3,0,0,-,1,5,6,11,1,0,2,0,-13,44.7
Norman Powell,MIA,MIA vs. DEN,12/29/2025,W,28,25,9,16,56.3,3,8,37.5,4,4,100,1,0,1,4,1,0,3,1,7,32.2
Zeke Nnaji,DEN,DEN @ MIA,12/29/2025,L,9,4,1,1,100,0,0,-,2,2,100,0,0,0,0,0,0,0,4,-16,4
Andrew Wiggins,MIA,MIA vs. DEN,12/29/2025,W,31,19,6,10,60,4,7,57.1,3,4,75,1,4,5,6,3,3,0,2,28,52
Bam Adebayo,MIA,MIA vs. DEN,12/29/2025,W,21,13,5,10,50,1,2,50,2,2,100,3,7,10,4,1,0,2,3,3,32
Dru Smith,MIA,MIA vs. DEN,12/29/2025,W,21,11,4,6,66.7,2,4,50,1,1,100,0,4,4,1,2,0,1,3,24,22.3
Noah Penda,ORL,ORL @ TOR,12/29/2025,L,5,1,0,0,-,0,0,-,1,2,50,0,1,1,0,0,0,1,0,5,1.2
Trayce Jackson-Davis,GSW,GSW @ BKN,12/29/2025,W,22,11,5,6,83.3,0,0,-,1,2,50,0,6,6,1,1,2,1,1,10,27.7
Danny Wolf,BKN,BKN vs. GSW,12/29/2025,L,20,0,0,2,0,0,0,-,0,0,-,0,1,1,2,0,0,0,4,-15,4.2
Pat Spencer,GSW,GSW @ BKN,12/29/2025,W,10,4,2,4,50,0,0,-,0,0,-,0,1,1,4,1,0,0,2,4,14.2
Jamison Battle,TOR,TOR vs. ORL,12/29/2025,W,4,2,1,1,100,0,0,-,0,0,-,1,0,1,0,0,0,0,2,2,3.2
Cam Thomas,BKN,BKN vs. GSW,12/29/2025,L,19,13,5,12,41.7,1,3,33.3,2,2,100,0,0,0,2,0,0,2,1,-21,14
Desmond Bane,ORL,ORL @ TOR,12/29/2025,L,30,18,6,18,33.3,1,4,25,5,5,100,5,1,6,3,0,1,0,0,-6,32.7
Nolan Traore,BKN,BKN vs. GSW,12/29/2025,L,15,9,3,6,50,3,4,75,0,0,-,0,0,0,0,0,1,2,3,-21,10
Wendell Carter Jr.,ORL,ORL @ TOR,12/29/2025,L,32,9,4,10,40,1,5,20,0,0,-,1,5,6,2,1,1,1,6,4,24.2
Jimmy Butler III,GSW,GSW @ BKN,12/29/2025,W,31,21,5,9,55.6,0,0,-,11,12,91.7,3,2,5,4,1,0,1,1,7,35
Noah Clowney,BKN,BKN vs. GSW,12/29/2025,L,25,11,3,8,37.5,2,5,40,3,4,75,2,3,5,2,2,0,3,5,1,23
Michael Porter Jr.,BKN,BKN vs. GSW,12/29/2025,L,36,27,10,18,55.6,5,9,55.6,2,4,50,3,6,9,5,3,0,2,0,3,52.3
Drake Powell,BKN,BKN vs. GSW,12/29/2025,L,17,2,0,2,0,0,2,0,2,2,100,0,0,0,0,0,0,0,1,-19,2
Brandin Podziemski,GSW,GSW @ BKN,12/29/2025,W,20,7,3,6,50,1,3,33.3,0,0,-,0,2,2,2,0,0,1,1,5,11.4
Quinten Post,GSW,GSW @ BKN,12/29/2025,W,5,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,1,3,-8,2
Buddy Hield,GSW,GSW @ BKN,12/29/2025,W,11,6,3,5,60,0,2,0,0,0,-,0,3,3,0,2,1,0,1,3,18.6
Gary Payton II,GSW,GSW @ BKN,12/29/2025,W,10,10,4,5,80,1,1,100,1,2,50,0,0,0,1,0,0,2,2,4,9.5
Egor Dëmin,BKN,BKN vs. GSW,12/29/2025,L,32,23,7,17,41.2,7,14,50,2,2,100,1,2,3,3,1,0,3,4,8,31.1
Scottie Barnes,TOR,TOR vs. ORL,12/29/2025,W,37,13,5,12,41.7,1,2,50,2,2,100,2,9,11,2,2,1,2,3,-3,36.2
Moses Moody,GSW,GSW @ BKN,12/29/2025,W,12,4,1,8,12.5,1,5,20,1,2,50,1,2,3,0,0,0,0,1,-15,7.6
Terance Mann,BKN,BKN vs. GSW,12/29/2025,L,28,4,0,3,0,0,3,0,4,4,100,0,2,2,4,1,1,1,3,12,17.4
Stephen Curry,GSW,GSW @ BKN,12/29/2025,W,29,27,8,15,53.3,5,12,41.7,6,7,85.7,0,2,2,5,1,0,2,1,-6,37.9
De'Anthony Melton,GSW,GSW @ BKN,12/29/2025,W,24,10,4,6,66.7,0,2,0,2,2,100,1,7,8,1,2,1,1,1,26,29.1
Gui Santos,GSW,GSW @ BKN,12/29/2025,W,19,0,0,2,0,0,2,0,0,0,-,1,3,4,2,0,0,2,1,10,5.8
Draymond Green,GSW,GSW @ BKN,12/29/2025,W,25,7,1,3,33.3,0,1,0,5,6,83.3,0,5,5,3,1,1,1,5,3,22.5
Will Richard,GSW,GSW @ BKN,12/29/2025,W,23,10,4,7,57.1,1,4,25,1,1,100,0,1,1,3,2,0,1,1,22,20.7
Day'Ron Sharpe,BKN,BKN vs. GSW,12/29/2025,L,12,3,1,3,33.3,0,2,0,1,2,50,1,4,5,0,0,0,1,2,-14,8
Jase Richardson,ORL,ORL @ TOR,12/29/2025,L,20,7,2,7,28.6,1,4,25,2,2,100,1,2,3,4,1,0,0,2,12,19.6
Ja'Kobe Walter,TOR,TOR vs. ORL,12/29/2025,W,24,10,2,6,33.3,1,4,25,5,6,83.3,2,5,7,0,2,0,0,0,-3,24.4
Aaron Holiday,HOU,HOU vs. IND,12/29/2025,W,4,0,0,1,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-14,0
Jeff Green,HOU,HOU vs. IND,12/29/2025,W,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-8,1
Ethan Thompson,IND,IND @ HOU,12/29/2025,L,4,2,1,1,100,0,0,-,0,0,-,0,0,0,1,0,0,0,1,14,3.5
JD Davison,HOU,HOU vs. IND,12/29/2025,W,2,2,0,0,-,0,0,-,2,2,100,0,0,0,1,1,0,1,1,-8,5.5
Taelon Peter,IND,IND @ HOU,12/29/2025,L,4,6,2,2,100,2,2,100,0,1,0,0,1,1,0,1,0,0,0,14,10.2
Bennedict Mathurin,IND,IND @ HOU,12/29/2025,L,26,14,5,11,45.5,3,6,50,1,1,100,1,2,3,4,0,0,0,3,-13,23.6
Patrick Williams,CHI,CHI vs. MIN,12/29/2025,L,20,7,3,8,37.5,1,3,33.3,0,0,-,0,3,3,2,0,2,2,3,-21,17.6
Kevin Durant,HOU,HOU vs. IND,12/29/2025,W,34,30,13,20,65,2,6,33.3,2,3,66.7,0,6,6,5,0,1,3,0,14,44.7
T.J. McConnell,IND,IND @ HOU,12/29/2025,L,16,6,2,7,28.6,0,0,-,2,2,100,1,0,1,4,1,0,1,1,-13,15.2
Dalen Terry,CHI,CHI vs. MIN,12/29/2025,L,11,0,0,3,0,0,2,0,0,0,-,0,1,1,1,1,1,1,0,-14,7.7
Dorian Finney-Smith,HOU,HOU vs. IND,12/29/2025,W,16,6,2,3,66.7,2,3,66.7,0,0,-,0,2,2,0,0,0,1,3,8,7.4
Micah Potter,IND,IND @ HOU,12/29/2025,L,12,3,1,3,33.3,0,1,0,1,1,100,1,2,3,6,0,1,1,4,16,17.6
Kam Jones,IND,IND @ HOU,12/29/2025,L,18,4,2,4,50,0,1,0,0,0,-,0,1,1,1,2,0,0,1,11,12.7
Johnny Furphy,IND,IND @ HOU,12/29/2025,L,20,9,4,5,80,1,2,50,0,1,0,0,4,4,1,1,0,0,3,-12,18.3
Matas Buzelis,CHI,CHI vs. MIN,12/29/2025,L,24,13,5,14,35.7,3,8,37.5,0,0,-,2,3,5,2,0,1,2,2,-26,23
Julius Randle,MIN,MIN @ CHI,12/29/2025,W,28,17,6,11,54.5,0,2,0,5,6,83.3,0,5,5,14,1,0,0,2,28,47
Joan Beringer,MIN,MIN @ CHI,12/29/2025,W,6,0,0,2,0,0,0,-,0,0,-,1,2,3,0,0,2,1,0,2,8.6
Jevon Carter,CHI,CHI vs. MIN,12/29/2025,L,5,0,0,2,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,-4,0
Aaron Nesmith,IND,IND @ HOU,12/29/2025,L,24,14,5,8,62.5,4,6,66.7,0,0,-,1,2,3,3,0,1,1,1,-10,24.1
Reed Sheppard,HOU,HOU vs. IND,12/29/2025,W,24,13,6,12,50,1,5,20,0,0,-,0,1,1,3,2,0,2,3,12,22.7
Johnny Juzang,MIN,MIN @ CHI,12/29/2025,W,6,2,1,4,25,0,3,0,0,0,-,1,1,2,2,1,0,0,0,2,10.4
Mike Conley,MIN,MIN @ CHI,12/29/2025,W,18,2,1,3,33.3,0,2,0,0,0,-,0,0,0,1,1,0,0,2,10,6.5
Jaylen Clark,MIN,MIN @ CHI,12/29/2025,W,19,11,4,7,57.1,0,0,-,3,3,100,1,3,4,0,3,1,0,0,11,27.8
Tre Jones,CHI,CHI vs. MIN,12/29/2025,L,21,11,5,9,55.6,0,0,-,1,2,50,1,1,2,4,0,0,1,1,-28,18.4
Amen Thompson,HOU,HOU vs. IND,12/29/2025,W,37,20,6,9,66.7,0,1,0,8,8,100,4,4,8,7,0,1,3,0,10,40.1
Pascal Siakam,IND,IND @ HOU,12/29/2025,L,31,23,8,16,50,1,3,33.3,6,10,60,1,3,4,4,1,0,2,0,-15,34.8
Jabari Smith Jr.,HOU,HOU vs. IND,12/29/2025,W,34,21,8,16,50,3,7,42.9,2,2,100,2,8,10,2,0,3,3,3,10,42
Julian Phillips,CHI,CHI vs. MIN,12/29/2025,L,6,2,1,2,50,0,1,0,0,0,-,0,1,1,0,0,0,1,2,-2,2.2
Tari Eason,HOU,HOU vs. IND,12/29/2025,W,29,13,5,8,62.5,1,3,33.3,2,2,100,3,5,8,1,1,1,2,3,9,28.1
Rob Dillingham,MIN,MIN @ CHI,12/29/2025,W,6,5,2,3,66.7,1,1,100,0,0,-,0,0,0,0,0,0,0,1,2,5
Leonard Miller,MIN,MIN @ CHI,12/29/2025,W,6,3,1,2,50,0,0,-,1,2,50,1,1,2,0,0,0,1,0,2,4.4
Jae'Sean Tate,HOU,HOU vs. IND,12/29/2025,W,9,2,1,3,33.3,0,1,0,0,0,-,0,0,0,1,0,0,0,0,-13,3.5
Jarace Walker,IND,IND @ HOU,12/29/2025,L,24,12,5,7,71.4,2,3,66.7,0,0,-,0,2,2,3,1,0,1,0,-3,20.9
Tony Bradley,IND,IND @ HOU,12/29/2025,L,11,0,0,1,0,0,0,-,0,0,-,1,2,3,0,0,0,0,2,4,3.6
Josh Okogie,HOU,HOU vs. IND,12/29/2025,W,13,3,1,2,50,1,1,100,0,0,-,0,3,3,0,0,0,0,1,-4,6.6
Coby White,CHI,CHI vs. MIN,12/29/2025,L,7,0,0,0,-,0,0,-,0,0,-,0,0,0,2,0,0,0,0,1,3
Josh Giddey,CHI,CHI vs. MIN,12/29/2025,L,18,11,3,10,30,1,4,25,4,4,100,0,4,4,3,0,0,1,0,-1,19.3
Bones Hyland,MIN,MIN @ CHI,12/29/2025,W,14,12,5,8,62.5,1,4,25,1,1,100,0,0,0,1,1,1,0,2,12,19.5
Clint Capela,HOU,HOU vs. IND,12/29/2025,W,13,6,3,4,75,0,0,-,0,1,0,2,5,7,1,0,0,0,1,2,15.9
Victor Wembanyama,SAS,SAS vs. CLE,12/29/2025,L,27,26,7,16,43.8,2,6,33.3,10,12,83.3,2,12,14,3,1,1,2,1,-17,51.3
Asa Newell,ATL,ATL @ OKC,12/29/2025,L,20,9,3,8,37.5,2,5,40,1,2,50,0,0,0,2,1,0,2,5,9,13
Jaden McDaniels,MIN,MIN @ CHI,12/29/2025,W,23,7,3,9,33.3,1,1,100,0,0,-,2,3,5,3,0,0,0,1,12,17.5
Donte DiVincenzo,MIN,MIN @ CHI,12/29/2025,W,27,12,4,10,40,4,9,44.4,0,0,-,0,6,6,3,0,0,0,2,28,23.7
Mikal Bridges,NYK,NYK @ NOP,12/29/2025,W,35,6,3,5,60,0,1,0,0,0,-,1,4,5,10,2,1,1,2,3,35
Kenrich Williams,OKC,OKC vs. ATL,12/29/2025,W,5,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,1,1,1,-6,3.2
Devin Vassell,SAS,SAS vs. CLE,12/29/2025,L,30,7,3,10,30,1,6,16.7,0,0,-,0,4,4,0,0,0,1,0,-2,10.8
Mouhamed Gueye,ATL,ATL @ OKC,12/29/2025,L,10,0,0,1,0,0,0,-,0,2,0,4,1,5,3,2,0,0,2,2,16.5
Ariel Hukporti,NYK,NYK @ NOP,12/29/2025,W,12,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,2,-5,0
Keldon Johnson,SAS,SAS vs. CLE,12/29/2025,L,18,8,2,3,66.7,0,0,-,4,4,100,2,1,3,0,0,0,2,1,-6,9.6
OG Anunoby,NYK,NYK @ NOP,12/29/2025,W,37,23,8,22,36.4,1,8,12.5,6,6,100,2,9,11,1,3,1,2,3,16,47.7
Luke Kornet,SAS,SAS vs. CLE,12/29/2025,L,23,10,3,4,75,0,0,-,4,4,100,3,6,9,3,1,1,0,3,9,31.3
De'Aaron Fox,SAS,SAS vs. CLE,12/29/2025,L,32,14,4,13,30.8,1,6,16.7,5,6,83.3,0,2,2,3,1,0,2,2,-13,21.9
Carter Bryant,SAS,SAS vs. CLE,12/29/2025,L,7,0,0,2,0,0,0,-,0,0,-,1,1,2,0,0,0,0,0,-1,2.4
Anthony Edwards,MIN,MIN @ CHI,12/29/2025,W,32,23,9,13,69.2,2,5,40,3,4,75,0,2,2,4,1,1,0,0,28,37.4
Donovan Mitchell,CLE,CLE @ SAS,12/29/2025,W,35,10,3,12,25,2,9,22.2,2,2,100,0,2,2,7,3,0,3,3,15,28.9
Dean Wade,CLE,CLE @ SAS,12/29/2025,W,25,10,4,7,57.1,2,5,40,0,0,-,0,5,5,0,0,0,0,1,-6,16
Julian Champagnie,SAS,SAS vs. CLE,12/29/2025,L,24,7,2,4,50,1,3,33.3,2,2,100,0,6,6,0,1,0,1,4,2,16.2
Jordan Clarkson,NYK,NYK @ NOP,12/29/2025,W,13,9,3,6,50,1,3,33.3,2,2,100,0,2,2,1,0,0,1,0,9,11.9
Zion Williamson,NOP,NOP vs. NYK,12/29/2025,L,29,32,11,16,68.8,0,0,-,10,12,83.3,3,2,5,2,2,2,2,2,-8,51
Jeremiah Fears,NOP,NOP vs. NYK,12/29/2025,L,22,4,2,5,40,0,2,0,0,0,-,0,4,4,4,1,0,1,0,-3,16.8
Nickeil Alexander-Walker,ATL,ATL @ OKC,12/29/2025,L,40,30,11,24,45.8,6,14,42.9,2,3,66.7,0,4,4,5,2,1,1,3,-2,50.3
Darius Garland,CLE,CLE @ SAS,12/29/2025,W,31,15,5,13,38.5,1,5,20,4,4,100,0,5,5,11,1,0,3,2,3,37.5
Sam Merrill,CLE,CLE @ SAS,12/29/2025,W,26,5,1,6,16.7,1,6,16.7,2,2,100,0,0,0,1,1,0,1,2,-4,8.5
Aaron Wiggins,OKC,OKC vs. ATL,12/29/2025,W,11,2,1,5,20,0,1,0,0,0,-,1,2,3,1,0,0,1,0,-4,6.1
Karl-Anthony Towns,NYK,NYK @ NOP,12/29/2025,W,30,12,4,9,44.4,2,4,50,2,2,100,2,10,12,4,0,2,0,4,6,38.4
Mohamed Diawara,NYK,NYK @ NOP,12/29/2025,W,18,18,7,9,77.8,4,4,100,0,0,-,0,1,1,0,2,0,0,0,-12,25.2
Ajay Mitchell,OKC,OKC vs. ATL,12/29/2025,W,23,10,3,8,37.5,0,3,0,4,4,100,0,1,1,4,2,2,0,4,-11,29.2
Nae'Qwan Tomlin,CLE,CLE @ SAS,12/29/2025,W,5,6,2,5,40,2,4,50,0,0,-,0,0,0,0,0,0,0,0,1,6
Craig Porter Jr.,CLE,CLE @ SAS,12/29/2025,W,15,2,0,2,0,0,1,0,2,2,100,3,3,6,4,0,1,0,1,12,18.2
Tyler Kolek,NYK,NYK @ NOP,12/29/2025,W,12,7,2,5,40,2,4,50,1,2,50,1,1,2,5,0,0,1,1,4,15.9
Kevin Huerter,CHI,CHI vs. MIN,12/29/2025,L,22,8,3,6,50,2,3,66.7,0,0,-,0,6,6,1,0,1,1,1,-13,18.7
Saddiq Bey,NOP,NOP vs. NYK,12/29/2025,L,37,26,9,21,42.9,4,10,40,4,5,80,2,4,6,6,2,0,2,3,1,46.2
Kevin McCullar Jr.,NYK,NYK @ NOP,12/29/2025,W,9,2,1,2,50,0,1,0,0,0,-,0,0,0,1,0,0,0,1,3,3.5
Rudy Gobert,MIN,MIN @ CHI,12/29/2025,W,30,9,4,5,80,0,0,-,1,4,25,0,10,10,1,1,4,0,2,14,37.5
Onyeka Okongwu,ATL,ATL @ OKC,12/29/2025,L,35,26,8,16,50,3,6,50,7,8,87.5,2,12,14,6,1,0,4,3,-18,50.8
Micah Peavy,NOP,NOP vs. NYK,12/29/2025,L,10,3,1,3,33.3,1,1,100,0,0,-,0,0,0,0,0,0,0,2,0,3
Luguentz Dort,OKC,OKC vs. ATL,12/29/2025,W,23,6,2,9,22.2,1,7,14.3,1,1,100,0,4,4,1,0,0,1,2,20,11.3
Nikola Vučević,CHI,CHI vs. MIN,12/29/2025,L,30,23,10,17,58.8,3,5,60,0,0,-,0,5,5,2,0,0,3,2,-8,29
Jalen Smith,CHI,CHI vs. MIN,12/29/2025,L,26,12,4,6,66.7,3,4,75,1,2,50,2,4,6,1,1,2,1,3,-14,28.7
Jalen Brunson,NYK,NYK @ NOP,12/29/2025,W,36,28,10,23,43.5,5,10,50,3,3,100,0,3,3,10,0,0,1,1,-1,45.6
Isaac Okoro,CHI,CHI vs. MIN,12/29/2025,L,20,4,0,4,0,0,3,0,4,4,100,1,2,3,0,0,0,1,1,-13,6.6
Yves Missi,NOP,NOP vs. NYK,12/29/2025,L,14,2,1,2,50,0,0,-,0,0,-,3,3,6,2,0,0,1,0,2,11.2
Isaiah Joe,OKC,OKC vs. ATL,12/29/2025,W,10,0,0,2,0,0,2,0,0,0,-,0,1,1,1,0,0,0,1,-10,2.7
Vít Krejčí,ATL,ATL @ OKC,12/29/2025,L,34,18,7,14,50,4,10,40,0,0,-,1,0,1,2,1,0,0,2,-17,25.2
Naz Reid,MIN,MIN @ CHI,12/29/2025,W,27,33,11,18,61.1,6,10,60,5,5,100,1,6,7,3,0,0,1,0,24,44.9
Keaton Wallace,ATL,ATL @ OKC,12/29/2025,L,12,9,3,4,75,3,4,75,0,0,-,0,0,0,2,1,0,2,0,8,13
Jarrett Allen,CLE,CLE @ SAS,12/29/2025,W,28,27,11,21,52.4,0,1,0,5,7,71.4,2,8,10,0,2,0,2,4,9,43
Evan Mobley,CLE,CLE @ SAS,12/29/2025,W,29,16,7,13,53.8,0,2,0,2,2,100,2,5,7,2,0,3,1,4,11,35.4
Kevon Looney,NOP,NOP vs. NYK,12/29/2025,L,24,2,1,3,33.3,0,0,-,0,0,-,5,4,9,3,0,2,0,1,-1,23.3
Harrison Barnes,SAS,SAS vs. CLE,12/29/2025,L,27,3,1,7,14.3,1,5,20,0,0,-,2,2,4,3,1,0,1,0,-12,14.3
Luke Kennard,ATL,ATL @ OKC,12/29/2025,L,31,12,4,8,50,3,6,50,1,1,100,0,4,4,5,1,0,2,2,10,25.3
Dylan Harper,SAS,SAS vs. CLE,12/29/2025,L,17,11,5,11,45.5,1,2,50,0,2,0,0,4,4,1,1,0,4,1,-3,16.3
Branden Carlson,OKC,OKC vs. ATL,12/29/2025,W,11,6,2,3,66.7,0,1,0,2,2,100,0,0,0,0,0,0,0,1,-7,6
Nic Claxton,BKN,BKN vs. GSW,12/29/2025,L,36,15,7,9,77.8,0,0,-,1,3,33.3,2,7,9,4,3,3,1,4,1,48.8
Miles McBride,NYK,NYK @ NOP,12/29/2025,W,18,14,4,8,50,2,5,40,4,4,100,2,1,3,2,1,0,0,2,8,23.6
De'Andre Hunter,CLE,CLE @ SAS,12/29/2025,W,24,11,4,9,44.4,2,5,40,1,1,100,1,8,9,2,2,0,1,3,14,29.8
Guerschon Yabusele,NYK,NYK @ NOP,12/29/2025,W,16,9,3,5,60,3,4,75,0,0,-,1,1,2,1,0,0,2,2,-6,10.9
Zaccharie Risacher,ATL,ATL @ OKC,12/29/2025,L,23,12,4,9,44.4,4,8,50,0,0,-,1,3,4,0,1,1,2,3,-27,20.8
Ayo Dosunmu,CHI,CHI vs. MIN,12/29/2025,L,32,10,4,12,33.3,0,4,0,2,2,100,4,2,6,7,1,0,2,2,-32,28.7
Cason Wallace,OKC,OKC vs. ATL,12/29/2025,W,34,17,6,8,75,5,6,83.3,0,0,-,1,6,7,3,2,1,1,4,22,37.9
Trey Murphy III,NOP,NOP vs. NYK,12/29/2025,L,38,21,8,16,50,5,10,50,0,0,-,0,6,6,2,0,0,2,1,-4,29.2
Jordan Hawkins,NOP,NOP vs. NYK,12/29/2025,L,12,2,1,3,33.3,0,1,0,0,0,-,0,2,2,1,0,1,1,2,-7,7.9
Trey Jemison III,NYK,NYK @ NOP,12/29/2025,W,4,2,1,1,100,0,0,-,0,0,-,1,0,1,0,0,0,0,1,0,3.2
Jaylon Tyson,CLE,CLE @ SAS,12/29/2025,W,22,11,4,8,50,3,4,75,0,0,-,2,1,3,2,3,0,1,4,5,25.6
Stephon Castle,SAS,SAS vs. CLE,12/29/2025,L,34,15,5,13,38.5,0,3,0,5,6,83.3,0,4,4,8,1,0,5,5,-17,29.8
Jay Huff,IND,IND @ HOU,12/29/2025,L,19,8,3,8,37.5,2,4,50,0,0,-,1,2,3,1,1,1,1,4,-29,18.1
Steven Adams,HOU,HOU vs. IND,12/29/2025,W,22,8,3,4,75,0,0,-,2,6,33.3,3,2,5,0,0,0,0,2,17,14
Andrew Nembhard,IND,IND @ HOU,12/29/2025,L,29,11,4,13,30.8,2,5,40,1,2,50,0,1,1,2,3,0,1,2,-13,23.2
Immanuel Quickley,TOR,TOR vs. ORL,12/29/2025,W,25,4,2,12,16.7,0,6,0,0,0,-,1,4,5,5,0,0,1,2,-19,16.5
Tristan da Silva,ORL,ORL @ TOR,12/29/2025,L,27,6,2,6,33.3,0,1,0,2,2,100,2,4,6,1,0,0,0,3,-4,14.7
Jamal Shead,TOR,TOR vs. ORL,12/29/2025,W,29,19,8,15,53.3,3,6,50,0,2,0,1,3,4,5,0,1,1,2,14,33.3
Sandro Mamukelashvili,TOR,TOR vs. ORL,12/29/2025,W,23,13,5,10,50,0,3,0,3,3,100,1,3,4,1,1,1,0,2,-1,25.3
Jamal Cain,ORL,ORL @ TOR,12/29/2025,L,12,3,0,2,0,0,1,0,3,4,75,1,2,3,0,0,0,0,2,9,6.6
Collin Murray-Boyles,TOR,TOR vs. ORL,12/29/2025,W,25,4,1,6,16.7,1,2,50,1,4,25,7,5,12,2,0,2,2,5,19,25.4
Quenton Jackson,IND,IND @ HOU,12/29/2025,L,4,7,2,2,100,1,1,100,2,2,100,0,0,0,0,1,0,1,0,14,9
Justin Champagnie,WAS,WAS vs. PHX,12/29/2025,L,27,11,4,9,44.4,1,4,25,2,4,50,2,4,6,0,1,0,0,3,-5,21.2
Malaki Branham,WAS,WAS vs. PHX,12/29/2025,L,20,4,2,4,50,0,0,-,0,0,-,1,2,3,1,0,0,1,1,-5,8.1
Alex Caruso,OKC,OKC vs. ATL,12/29/2025,W,24,16,7,8,87.5,2,2,100,0,0,-,1,7,8,2,2,0,1,1,-1,33.6
Shai Gilgeous-Alexander,OKC,OKC vs. ATL,12/29/2025,W,36,39,15,24,62.5,2,5,40,7,7,100,1,5,6,6,2,0,3,1,16,58.2
Derik Queen,NOP,NOP vs. NYK,12/29/2025,L,29,7,3,13,23.1,0,2,0,1,2,50,2,7,9,5,1,2,2,2,-3,32.3
Jordan Poole,NOP,NOP vs. NYK,12/29/2025,L,26,26,7,14,50,4,10,40,8,8,100,1,2,3,2,0,1,0,2,-2,35.6
Dyson Daniels,ATL,ATL @ OKC,12/29/2025,L,35,13,6,13,46.2,0,1,0,1,1,100,2,4,6,7,1,2,3,0,-20,36.7
Chet Holmgren,OKC,OKC vs. ATL,12/29/2025,W,31,24,9,14,64.3,2,4,50,4,4,100,4,6,10,2,0,2,2,3,14,43
Jalen Williams,OKC,OKC vs. ATL,12/29/2025,W,33,20,8,17,47.1,0,1,0,4,5,80,1,7,8,7,1,1,3,0,22,43.1
Rayan Rupert,POR,POR vs. DAL,12/29/2025,W,28,9,4,9,44.4,1,4,25,0,0,-,1,2,3,2,0,1,0,2,1,18.6
