PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3sPM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus/Minus,FP
Liam McNeeley,CHA,CHA vs. LAL,11/10/2025,L,18,7,2,7,28.6,1,3,33.3,2,2,100,0,1,1,0,0,1,1,4,-2,10.2
Tristan da Silva,ORL,ORL vs. POR,11/10/2025,W,17,2,1,6,16.7,0,5,0,0,0,-,0,3,3,0,0,0,0,0,7,5.6
Jerami Grant,POR,POR @ ORL,11/10/2025,L,31,17,6,17,35.3,2,7,28.6,3,4,75,0,1,1,4,0,0,1,5,-1,23.2
Kris Murray,POR,POR @ ORL,11/10/2025,L,19,3,1,4,25,0,1,0,1,2,50,1,1,2,1,1,0,0,1,-3,9.9
Anthony Black,ORL,ORL vs. POR,11/10/2025,W,32,8,2,8,25,1,3,33.3,3,4,75,0,4,4,2,1,0,2,5,-10,16.8
Cade Cunningham,DET,DET vs. WAS,11/10/2025,W,45,46,14,45,31.1,2,11,18.2,16,18,88.9,5,7,12,11,5,2,2,4,10,95.9
Bub Carrington,WAS,WAS @ DET,11/10/2025,L,35,11,4,7,57.1,3,5,60,0,0,-,1,6,7,5,0,0,3,5,-11,23.9
Duncan Robinson,DET,DET vs. WAS,11/10/2025,W,38,13,5,11,45.5,3,9,33.3,0,0,-,0,3,3,2,1,0,0,1,1,22.6
Jalen Duren,DET,DET vs. WAS,11/10/2025,W,40,19,6,10,60,0,0,-,7,11,63.6,7,7,14,3,2,0,5,2,-6,41.3
Javonte Green,DET,DET vs. WAS,11/10/2025,W,38,11,4,11,36.4,1,5,20,2,2,100,4,7,11,3,1,2,2,0,10,35.7
Alex Sarr,WAS,WAS @ DET,11/10/2025,L,37,15,7,16,43.8,1,5,20,0,0,-,2,13,15,2,1,2,3,5,-4,42
Kyshawn George,WAS,WAS @ DET,11/10/2025,L,29,14,5,10,50,1,5,20,3,4,75,1,3,4,6,0,1,3,5,3,27.8
Cam Whitmore,WAS,WAS @ DET,11/10/2025,L,29,20,6,11,54.5,1,5,20,7,8,87.5,0,2,2,1,2,0,1,3,3,28.9
CJ McCollum,WAS,WAS @ DET,11/10/2025,L,43,42,14,25,56,5,10,50,9,11,81.8,1,5,6,4,1,0,4,3,9,54.2
Tre Johnson,WAS,WAS @ DET,11/10/2025,L,23,10,4,7,57.1,1,2,50,1,1,100,1,3,4,3,0,0,1,0,-1,18.3
Khris Middleton,WAS,WAS @ DET,11/10/2025,L,26,6,3,10,30,0,3,0,0,0,-,2,1,3,2,3,0,2,4,-10,19.6
Malaki Branham,WAS,WAS @ DET,11/10/2025,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0
Ronald Holland II,DET,DET vs. WAS,11/10/2025,W,24,5,1,4,25,0,3,0,3,3,100,0,1,1,1,1,0,2,4,-14,8.7
Corey Kispert,WAS,WAS @ DET,11/10/2025,L,23,8,3,3,100,2,2,100,0,0,-,2,1,3,2,0,0,0,1,9,14.6
Justin Champagnie,WAS,WAS @ DET,11/10/2025,L,3,0,0,0,-,0,0,-,0,2,0,0,0,0,0,0,0,0,1,-11,0
Paul Reed,DET,DET vs. WAS,11/10/2025,W,13,8,4,5,80,0,0,-,0,2,0,4,5,9,0,1,1,0,3,8,24.8
Marvin Bagley III,WAS,WAS @ DET,11/10/2025,L,16,9,4,6,66.7,1,1,100,0,0,-,1,1,2,1,3,3,3,1,3,27.9
Chaz Lanier,DET,DET vs. WAS,11/10/2025,W,27,8,3,7,42.9,2,5,40,0,0,-,2,1,3,2,1,0,0,0,-2,17.6
Bobi Klintman,DET,DET vs. WAS,11/10/2025,W,7,3,1,4,25,1,2,50,0,0,-,2,0,2,2,0,0,1,1,-5,7.4
Tre Jones,CHI,CHI vs. SAS,11/10/2025,L,33,20,8,15,53.3,0,2,0,4,4,100,1,6,7,7,2,0,1,2,-18,43.9
Harrison Barnes,SAS,SAS @ CHI,11/10/2025,W,28,7,2,4,50,1,2,50,2,3,66.7,0,3,3,2,1,1,1,1,11,18.6
Kevin Huerter,CHI,CHI vs. SAS,11/10/2025,L,33,23,8,14,57.1,4,9,44.4,3,4,75,1,4,5,5,0,1,1,3,-1,38.5
Isaac Okoro,CHI,CHI vs. SAS,11/10/2025,L,21,2,0,5,0,0,3,0,2,2,100,1,1,2,3,0,1,2,5,-3,9.9
Luke Kornet,SAS,SAS @ CHI,11/10/2025,W,20,16,6,6,100,0,0,-,4,6,66.7,3,4,7,2,0,1,0,1,8,30.4
